,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5.0,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6.0,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7.0
0,605,595,606,606,595,606,606,606,577,577,577,521,578,524,578,523,523,578,36,578,10,11,2,11,11,2,3,0,0,0,2,1,0,0,2,0,0,0,0,0,0
1,893,894,894,894,885,885,885,894,877,894,879,880,880,880,880,863,863,880,878,878,24,25,23,22,23,6,8,0,22,0,0,0,0,0,1,0,0,0,0,0,0
2,560,561,561,561,556,561,556,561,549,561,552,553,553,550,553,553,523,552,552,553,35,36,36,28,28,10,28,0,34,28,1,1,0,1,2,0,0,0,0,0,0
3,542,543,543,543,535,543,527,543,520,535,545,546,546,546,546,546,528,546,528,546,42,43,30,43,43,0,27,30,38,43,3,1,0,4,1,0,0,1,0,0,0
4,445,446,446,446,437,446,437,446,424,437,446,447,447,434,447,447,434,447,434,416,51,52,52,39,39,7,30,37,48,11,3,0,0,4,1,0,1,0,0,0,0
5,272,273,273,273,264,273,264,273,258,260,277,278,278,264,278,238,242,264,261,233,39,40,40,40,33,40,27,33,38,0,5,6,0,6,1,0,1,1,1,0,0
6,208,209,207,209,207,209,207,209,186,207,209,206,209,205,209,209,205,206,205,192,38,39,34,17,34,9,31,6,34,7,1,1,0,2,0,0,0,0,0,0,0
7,148,149,149,149,144,149,149,149,139,144,146,147,126,142,142,142,142,142,147,124,13,13,10,8,10,0,9,7,0,0,0,0,0,1,0,0,0,0,0,0,0
