,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5.0,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6.0,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7.0
0,446,446,446,446,447,446,443,447,446,447,406,407,307,39,39,407,407,407,36,407,2,2,2,3,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1,629,629,629,629,630,629,629,630,629,630,628,629,442,105,105,589,629,589,98,589,9,7,10,10,7,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,375,376,376,376,376,376,376,376,376,376,376,377,290,91,289,363,377,91,91,363,16,17,16,16,12,10,17,0,0,13,0,0,0,1,0,0,0,0,0,0,0
3,347,343,343,343,348,343,343,348,343,348,343,344,242,107,242,326,344,242,107,326,15,13,16,16,16,0,14,10,0,0,0,1,0,0,1,0,0,1,0,0,0
4,296,294,294,294,297,294,294,297,294,297,294,295,207,207,62,284,295,284,62,284,9,6,10,10,10,7,7,7,0,10,0,0,0,0,0,0,1,0,0,0,0
5,170,169,169,169,171,169,169,171,169,171,168,169,122,59,59,156,169,169,59,169,11,8,12,12,12,7,12,6,0,0,0,0,0,0,1,0,1,0,0,0,0
6,133,133,133,133,134,133,133,134,133,134,133,134,101,101,20,128,134,128,15,128,16,9,9,17,17,9,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0
7,108,109,109,109,109,109,109,109,109,109,99,100,81,15,15,100,15,100,15,100,7,0,7,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
